x, y
4.39575, 21.53117
4.2878, 11.14541
4.15835, 23.63825
4.09285, 21.8628
4.11281, 18.88822
3.83103, 25.29338
3.83103, 21.02968
3.83316, 15.72861
3.90595, 22.36126
3.94259, 21.28245
3.68526, 24.09121
3.6896, 25.69174
3.63213, 25.55019
3.56467, 26.65125
3.52045, 25.10633
3.47158, 25.18621
3.42762, 26.38433
3.35049, 26.83224
3.30072, 24.91928
3.26982, 23.90619
3.23532, 26.28929
3.20958, 30.24562
3.08729, 28.74013
3.12077, 19.78302
2.99851, 19.08336
3.01978, 26.3267
3.01978, 28.08091
2.90048, 27.69569
2.80679, 28.65925
2.80934, 22.06906
2.79251, 24.0265
2.70256, 26.34591
2.69714, 30.006
2.60885, 28.10417
2.48717, 21.07821
2.53485, 29.36397
2.49986, 30.06565
2.39085, 30.38313
2.33169, 32.32136
2.29165, 31.42049
2.23185, 31.79863
2.19099, 33.29907
2.13712, 34.89252
2.15269, 32.15352
2.09948, 33.22223
2.03176, 35.3101
2.00435, 36.60326
1.97849, 33.36479
1.94993, 34.83388
1.9191, 36.23321
1.86841, 35.49512
1.84052, 37.88935
1.78767, 35.79137
1.7552, 36.95512
1.69964, 36.06638
1.6768, 37.47885
1.57964, 37.13913
1.60611, 32.15959
1.61747, 37.80947
1.52883, 39.38776
1.51454, 38.25131
1.45965, 38.61934
1.40246, 37.24529
1.36793, 40.03384
1.29226, 40.10562
1.24656, 38.36759
1.22103, 40.78001
1.20571, 42.75363
1.15095, 42.33201
1.10068, 44.85565
1.05457, 43.10245
1.06753, 40.78608
0.99476, 45.13471
0.97078, 48.1467
0.92183, 45.93144
0.91986, 43.7829
0.83114, 47.75137
0.8559, 49.96663
0.7705, 49.70881
0.77539, 47.45007
0.71103, 51.96654
0.72178, 53.97757
0.64083, 54.05946
0.64571, 56.06544
0.64851, 59.77001
0.61329, 59.35244
0.56628, 59.83877
0.5415, 58.2898
0.50336, 62.50699
0.52789, 66.90921
0.45397, 72.01716
0.40888, 80.90855
0.3444, 89.95969
0.38375, 96.4973
0.3229, 97.79956
0.36682, 100.29591
0.36799, 104.65971
0.28939, 109.19336
0.31384, 116.95336
0.27774, 120.16858
0.32083, 120.05534
0.31964, 123.43031
0.27296, 127.71221
0.27472, 131.36421
0.23324, 132.36618
0.22007, 127.38765
0.23096, 139.73692
0.21282, 143.30803
0.18717, 149.17934
0.09145, 148.74256
0.145, 151.38349
0.08214, 153.63212
0.13915, 154.72307
0.12972, 159.04339
0.10588, 156.76847
0.15779, 161.18788
0.08488, 164.14527
