x, y
4.42995, 19.85017
3.85709, 40.34347
4.12806, 28.05636
3.85584, 26.12069
3.96557, 24.73776
3.92268, 21.70618
4.11615, 21.22183
4.19077, 19.33886
3.85134, 15.9879
3.70657, 16.76835
3.70272, 19.66756
3.65696, 19.40603
3.58026, 19.68742
3.52848, 20.45463
3.49634, 21.79908
3.27211, 23.47346
3.31579, 21.47283
3.4286, 19.12022
3.475, 18.25815
3.35823, 18.30693
3.25552, 19.55775
3.21677, 16.9968
3.10991, 17.45173
3.03151, 18.90697
3.03151, 21.13825
2.83129, 17.96279
2.71726, 18.39076
2.56118, 18.65181
2.62266, 21.04609
2.71375, 22.9896
2.81031, 26.77343
2.82822, 30.94185
3.13124, 34.09256
3.02711, 36.12578
2.50934, 35.57452
2.40821, 21.67505
2.36967, 19.96538
2.50557, 19.65212
2.54863, 19.91219
2.35223, 18.47704
2.31194, 18.35301
2.23742, 20.00214
2.17857, 21.04241
2.20158, 17.68361
2.15388, 17.90764
2.12694, 18.46601
2.04651, 18.05177
2.02122, 16.54627
1.93777, 17.5537
1.96881, 19.28764
1.98379, 19.78081
1.91473, 19.44206
1.87432, 17.55713
1.85189, 16.33523
1.78196, 17.47575
1.76638, 17.96573
1.79062, 18.17433
1.61328, 18.95403
1.62282, 17.61595
1.68748, 17.60492
1.70107, 17.98534
1.52589, 17.39658
1.52968, 18.12408
1.46401, 18.21183
1.43426, 19.14669
1.3722, 18.09148
1.3685, 18.62975
1.30765, 18.61161
1.27144, 19.10454
1.25222, 20.04627
1.09093, 19.45578
1.20234, 17.50026
1.2191, 18.00422
1.11202, 17.44315
1.12109, 18.17089
1.06987, 18.52582
1.00396, 17.60909
0.96848, 16.14036
0.86535, 15.95923
0.85066, 17.08062
0.92426, 17.85519
0.93091, 18.7952
0.79205, 17.90004
0.78377, 17.0142
0.7458, 15.45625
0.73533, 16.03153
0.65998, 16.06144
0.62492, 15.42071
0.66377, 15.0447
0.65346, 14.11229
0.61208, 13.91521
0.51043, 13.92919
0.55612, 14.46599
0.53878, 15.2006
0.54849, 12.79284
0.52432, 12.23643
0.44738, 11.92023
0.43836, 12.38374
0.41871, 10.99664
0.35272, 9.36809
0.33908, 8.85262
0.37658, 8.86757
0.37449, 8.40308
0.28855, 8.05673
0.30205, 7.49003
0.31993, 6.74096
0.28392, 6.23112
0.25389, 6.97529
0.23567, 6.12842
0.2068, 6.57648
0.16747, 6.41373
0.10425, 6.28161
0.07052, 6.34019
