Distance, IPI_ms
2.35131, 40.01967
2.97896, 46.49173
3.13592, 46.44847
3.63527, 54.47266
3.8699, 56.62223
4.09032, 48.65779
4.3709, 42.85164
4.74044, 42.22401
4.55377, 35.60725
4.2974, 36.16798
3.72495, 33.76014
2.70291, 42.34505
2.91728, 42.09705
3.13736, 40.24962
2.32098, 35.94985
1.77675, 36.66617
1.92572, 35.83721
1.4999, 34.66751
1.49318, 30.34316
2.14391, 26.05553
0.98968, 18.49125
1.64379, 20.32934
3.8565, 29.19867
3.84664, 32.02878
3.79253, 32.1047
4.07316, 30.92661
4.08712, 31.41546
3.55953, 31.16123
3.61348, 29.80919
3.50878, 29.04371
3.51854, 27.24949
3.38753, 26.19493
3.27584, 26.0157
3.17754, 26.6287
3.07134, 24.39387
3.10381, 23.29761
3.30047, 23.31441
3.32275, 24.50371
2.87778, 23.42612
2.88115, 21.85377
2.81279, 21.58617
2.69873, 22.548
2.5285, 23.48214
2.64855, 21.91788
2.47858, 22.14036
2.6047, 21.07958
2.48193, 19.89028
2.43855, 20.264
2.40747, 20.49987
2.24566, 20.61936
2.26149, 19.67713
2.31229, 19.09524
2.06616, 17.84868
2.0819, 20.44915
2.09986, 20.77743
1.93093, 18.80087
1.95475, 18.49001
1.92367, 18.24014
1.80335, 20.06858
1.6427, 18.6932
1.63142, 17.52226
1.76999, 17.68719
1.78503, 17.03528
1.67894, 15.43928
1.54413, 17.24594
1.40004, 17.08538
1.487, 15.22208
1.53038, 15.12406
1.39971, 14.67629
1.36487, 15.16669
1.27611, 15.90168
1.12674, 15.696
1.26397, 15.18008
1.24722, 14.50981
1.28745, 13.73064
1.26448, 13.2421
1.17391, 13.47081
1.1496, 13.07811
1.06842, 12.94119
1.02304, 14.01505
1.00914, 13.36999
1.05702, 13.65845
0.90822, 13.80407
0.94892, 13.72192
0.84587, 14.07044
0.96884, 12.64029
0.73482, 12.1001
0.85242, 10.42226
0.80395, 11.29665
0.90325, 12.11192
0.8482, 12.17416
0.71267, 10.75304
0.76538, 10.28192
0.62177, 9.63997
0.66312, 8.3038
0.68039, 7.06876
0.55902, 8.54776
0.61591, 6.81454
0.58513, 7.44653
0.53771, 7.68737
0.47916, 6.87086
0.56441, 5.77678
0.36428, 6.11658
0.51479, 5.08535
0.38779, 5.34207
0.33143, 4.99138
0.28249, 4.64878
0.2422, 4.37433
0.18563, 4.1369
0.14294, 3.98163
0.08075, 3.95144
0.0479, 4.09987
0.34433, 4.11076
0.28304, 3.82106
0.21935, 3.53852
0.17063, 3.33688
0.11212, 3.3151
0.45388, 5.84306
0.51483, 6.10071
0.63579, 8.86547
