Distance, IPI_ms
1.06327, 17.9852
1.60359, 23.63561
3.83006, 51.0403
2.48341, 37.97983
4.10747, 41.28441
2.99083, 41.14571
3.11292, 41.46607
2.80921, 36.5179
3.82377, 37.78889
3.94394, 36.68475
3.89932, 34.2542
4.08885, 34.61634
4.39849, 34.49911
4.15843, 31.31554
3.67925, 30.5924
3.82348, 29.33621
3.20969, 23.60862
2.7884, 31.92927
2.69271, 27.86702
3.25408, 31.82596
3.30006, 30.2793
3.46, 30.01669
3.50695, 29.48507
3.55675, 28.25645
3.62469, 28.58
3.68179, 28.55098
3.01943, 28.21205
2.89522, 26.23331
3.01658, 26.05862
3.08292, 25.82792
3.22171, 27.55885
3.33513, 27.912
3.40894, 28.62033
3.44692, 28.08959
2.80957, 24.80039
2.70239, 23.74732
2.60034, 26.11955
2.49735, 24.28329
2.53129, 24.9185
2.54655, 24.26762
2.34787, 23.86427
2.38001, 23.54362
2.22036, 22.79002
2.29323, 22.66437
2.32648, 22.26334
2.15307, 22.15133
2.18172, 21.46534
2.09338, 21.04313
1.97415, 21.629
2.13539, 19.70713
2.02624, 19.96278
2.00247, 19.51707
1.95316, 20.63716
1.86216, 19.97178
1.8321, 18.58384
1.91318, 19.20628
1.77986, 20.27241
1.6899, 19.87341
1.74166, 19.38561
1.67233, 19.1407
1.61472, 18.91262
1.58058, 19.5426
1.40118, 19.46686
1.51429, 18.07748
1.44954, 18.46197
1.42219, 18.69614
1.51583, 18.61025
1.24162, 19.11575
1.35438, 18.15641
1.2985, 18.13406
1.25631, 18.14103
1.21524, 17.03834
1.19689, 16.65443
1.13686, 16.80794
1.102, 16.23135
1.05886, 16.94345
0.9893, 15.90286
0.96873, 14.8379
0.91629, 15.81668
0.91615, 16.72465
0.85862, 14.24593
0.84123, 14.9087
0.77893, 15.36371
0.77291, 14.88113
0.71584, 14.00856
0.72504, 13.31416
0.64108, 13.63829
0.53925, 12.96362
0.61276, 12.80315
0.55644, 12.17026
0.51003, 11.55073
0.52249, 10.7388
0.45779, 10.23447
0.43208, 10.35025
0.40142, 9.01919
0.34428, 8.03402
0.37043, 6.73488
0.34435, 7.12228
0.29161, 6.49897
0.30615, 5.63597
0.27635, 5.14614
0.25745, 5.68385
0.19325, 5.50103
0.16532, 4.85596
0.10877, 4.68853
0.04686, 5.33447
